matrix,Nrows,Ncols,Nnnz,AvgNnnz,Density,MaxRowNnnz,MinRowNnnz,StdRowNnnz,NDiags,NTrueDiags
adder_dcop_42,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2
adder_dcop_43,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2
adder_dcop_44,1813,1813,11245,6.20243,0.00342108,1310,1,30.7772,3127,2
adder_dcop_45,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2
adder_dcop_46,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2
adder_dcop_47,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2
adder_dcop_48,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2
adder_dcop_49,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2
adder_dcop_50,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2
adder_dcop_51,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2
adder_dcop_52,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2
adder_dcop_53,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2
adder_dcop_54,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2
adder_dcop_55,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2
adder_dcop_56,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2
adder_dcop_57,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2
adder_dcop_58,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2
adder_dcop_59,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2
adder_dcop_60,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2
adder_dcop_61,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2
adder_dcop_62,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2
adder_dcop_63,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2
adder_dcop_64,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2
adder_dcop_65,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2
adder_dcop_66,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2
adder_dcop_67,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2
adder_dcop_68,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2
adder_dcop_69,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2
adder_trans_01,1814,1814,14579,8.03693,0.0044305,1335,1,33.6749,3321,3
adder_trans_02,1814,1814,14579,8.03693,0.0044305,1335,1,33.6749,3321,3
adjnoun,112,112,850,7.58929,0.0677615,49,1,6.85116,198,2
af_0_k101,503625,503625,1.75507e+07,34.8487,6.91957e-05,35,15,1.25658,897,47
af_1_k101,503625,503625,1.75507e+07,34.8487,6.91957e-05,35,15,1.25658,897,47
af23560,23560,23560,484256,20.5542,0.000872418,21,11,1.27075,33,33
af_2_k101,503625,503625,1.75507e+07,34.8487,6.91957e-05,35,15,1.25658,897,47
af_3_k101,503625,503625,1.75507e+07,34.8487,6.91957e-05,35,15,1.25658,897,47
af_4_k101,503625,503625,1.75507e+07,34.8487,6.91957e-05,35,15,1.25658,897,47
af_5_k101,503625,503625,1.75507e+07,34.8487,6.91957e-05,35,15,1.25658,897,47
af_shell1,504855,504855,1.75889e+07,34.8395,6.90088e-05,40,20,1.27522,7525,19
af_shell10,1.50806e+06,1.50806e+06,5.26723e+07,34.9271,2.31602e-05,35,15,0.901546,2667,47
af_shell2,504855,504855,1.75889e+07,34.8395,6.90088e-05,40,20,1.27522,7525,19
af_shell3,504855,504855,1.75889e+07,34.8395,6.90088e-05,40,20,1.27522,7525,19
af_shell4,504855,504855,1.75889e+07,34.8395,6.90088e-05,40,20,1.27522,7525,19
af_shell5,504855,504855,1.75889e+07,34.8395,6.90088e-05,40,20,1.27522,7525,19
af_shell6,504855,504855,1.75889e+07,34.8395,6.90088e-05,40,20,1.27522,7525,19
af_shell7,504855,504855,1.75889e+07,34.8395,6.90088e-05,40,20,1.27522,7525,19
af_shell8,504855,504855,1.75889e+07,34.8395,6.90088e-05,40,20,1.27522,7525,19
af_shell9,504855,504855,1.75889e+07,34.8395,6.90088e-05,40,20,1.27522,7525,19
aft01,8205,8205,125567,15.3037,0.00186517,21,8,3.8952,177,21
airfoil1,4253,4253,24578,5.77898,0.0013588,9,3,0.706731,756,0
airfoil1_dual,8034,8034,23626,2.94075,0.000366038,3,2,0.236089,792,2
airfoil_2d,14214,14214,259688,18.2699,0.00128534,23,1,3.94821,2964,1
ak2010,45292,45292,217098,4.7933,0.000105831,430,0,5.74964,9706,0
al2010,252266,252266,1.23048e+06,4.87772,1.93356e-05,76,1,3.09347,58240,0
Alemdar,6245,6245,42581,6.81841,0.00109182,10,1,2.36095,3465,1
amazon0302,262111,262111,1.23488e+06,4.71127,1.79744e-05,5,0,0.951538,217609,2
amazon0312,400727,400727,3.20044e+06,7.98658,1.99302e-05,10,0,3.07182,485089,2
amazon0505,410236,410236,3.35682e+06,8.18267,1.99462e-05,10,0,3.07317,485201,2
amazon0601,403394,403394,3.38739e+06,8.39722,2.08164e-05,10,0,2.78968,496338,2
amazon-2008,735323,735323,5.15839e+06,7.01513,9.5402e-06,10,0,3.94388,761972,8
analytics,303813,303813,2.00613e+06,6.60316,2.17343e-05,25666,1,131.404,472291,1
Andrews,60000,60000,760154,12.6692,0.000211154,36,9,3.41445,108155,1
apache1,80800,80800,542184,6.7102,8.3047e-05,7,4,0.475931,7,7
apache2,715176,715176,4.81787e+06,6.73662,9.41953e-06,8,4,0.448098,11,7
appu,14000,14000,1.8531e+06,132.365,0.00945461,294,12,36.4945,27801,1
ar2010,186211,186211,904310,4.85637,2.60799e-05,54,1,2.92528,32406,0
arc130,130,130,1282,9.86154,0.075858,124,1,14.8079,235,1
as-22july06,22963,22963,96872,4.21861,0.000183713,2390,1,32.9424,36358,0
AS365,3.79928e+06,3.79928e+06,2.27362e+07,5.98434,1.57513e-06,14,2,0.865496,5.92123e+06,2
as-735,7716,7716,26467,3.43015,0.00044455,1459,0,22.9817,11391,0
as-caida,31379,31379,106762,3.40234,0.000108427,2628,0,30.6905,46258,0
ash292,292,292,2208,7.56164,0.025896,14,4,1.74769,49,7
ash85,85,85,523,6.15294,0.0723875,10,3,1.40173,67,3
asia_osm,1.19508e+07,1.19508e+07,2.54232e+07,2.12733,1.78008e-07,9,1,0.484832,1.78282e+06,2
ASIC_100k,99340,99340,954163,9.60502,9.66884e-05,99029,1,420.914,153555,5
ASIC_100ks,99190,99190,578890,5.83617,5.88383e-05,206,1,6.16355,32013,5
ASIC_320k,321821,321821,2.63536e+06,8.18891,2.54456e-05,203800,1,502.951,485981,1
ASIC_320ks,321671,321671,1.82781e+06,5.68223,1.76647e-05,412,1,7.94985,97059,3
ASIC_680k,682862,682862,3.87177e+06,5.66992,8.30317e-06,395259,1,659.807,898735,1
ASIC_680ks,682712,682712,2.32918e+06,3.41165,4.99721e-06,210,1,4.25287,108087,1
as-Skitter,1.69642e+06,1.69642e+06,2.21906e+07,13.0809,7.71089e-06,35455,1,136.861,1.65605e+06,0
astro-ph,16706,16706,242502,14.5159,0.000868901,360,0,21.0085,28274,4
atmosmodj,1.27043e+06,1.27043e+06,8.81488e+06,6.93849,5.46152e-06,7,4,0.244858,7,7
atmosmodl,1.48975e+06,1.48975e+06,1.03198e+07,6.92717,4.64988e-06,7,4,0.264309,7,7
atmosmodm,1.48975e+06,1.48975e+06,1.03198e+07,6.92717,4.64988e-06,7,4,0.264309,7,7
audikw_1,943695,943695,7.76518e+07,82.2849,8.71944e-05,345,21,42.4453,1.73258e+06,39
aug2d,29008,29008,76832,2.64865,9.13075e-05,4,1,0.95765,19600,0
aug2dc,30200,30200,80000,2.64901,8.77155e-05,4,1,0.95736,20594,0
aug3d,24300,24300,69984,2.88,0.000118519,6,1,1.77358,24906,0
aug3dcqp,35543,35543,128115,3.60451,0.000101413,9,2,1.50184,26533,1
auto,448695,448695,6.62922e+06,14.7745,3.29276e-05,37,4,2.71361,449374,0
av41092,41092,41092,1.6839e+06,40.9788,0.000997246,2135,2,167.038,53538,0
az2010,241666,241666,1.19609e+06,4.94937,2.04802e-05,137,1,3.63807,114898,0
b1_ss,7,7,15,2.14286,0.306122,3,2,0.349927,7,2
b2_ss,1089,1089,4228,3.88246,0.00356516,11,1,2.19628,1637,0
barrier2-1,113076,113076,3.80507e+06,33.6505,0.000297592,7031,10,24.9358,191839,11
barrier2-10,115625,115625,3.89756e+06,33.7086,0.000291534,8437,8,28.4608,194405,13
barrier2-11,115625,115625,3.89756e+06,33.7086,0.000291534,8437,8,28.4608,194405,13
barrier2-12,115625,115625,3.89756e+06,33.7086,0.000291534,8437,8,28.4608,194405,13
barrier2-2,113076,113076,3.80507e+06,33.6505,0.000297592,7031,10,24.9358,191839,11
barrier2-3,113076,113076,3.80507e+06,33.6505,0.000297592,7031,10,24.9358,191839,11
barrier2-4,113076,113076,3.80507e+06,33.6505,0.000297592,7031,10,24.9358,191839,11
barrier2-9,115625,115625,3.89756e+06,33.7086,0.000291534,8437,8,28.4608,194405,13
barth,6691,6691,26439,3.95143,0.000590559,10,2,1.60663,7876,1
barth4,6019,6019,23492,3.90297,0.000648442,10,2,0.678551,1832,3
barth5,15606,15606,61484,3.93977,0.000252452,8,2,0.637148,3238,1
Baumann,112211,112211,760631,6.77858,6.04092e-05,7,4,0.433105,7,7
bauru5727,40366,40366,145019,3.5926,8.90007e-05,34,1,2.71075,14385,2
bayer01,57735,57735,277774,4.81119,8.33323e-05,28,1,3.96858,93219,0
bayer02,13935,13935,63679,4.56972,0.000327931,22,1,3.79258,22374,0
bayer03,6747,6747,56196,8.32904,0.00123448,34,1,8.42726,10611,0
bayer04,20545,20545,159082,7.7431,0.000376885,34,1,8.16467,31530,0
bayer05,3268,3268,27836,8.51775,0.00260641,73,1,11.5226,4550,0
bayer06,3008,3008,27576,9.16755,0.00304772,73,1,11.7872,4546,0
bayer07,3268,3268,27836,8.51775,0.00260641,73,1,11.5226,4550,0
bayer08,3008,3008,27576,9.16755,0.00304772,73,1,11.7872,4546,0
bayer09,3083,3083,21216,6.88161,0.00223211,34,1,7.73159,4682,0
bayer10,13436,13436,94926,7.06505,0.00052583,27,1,7.44954,20535,0
bbmat,38744,38744,1.77172e+06,45.7289,0.00118028,126,6,38.3953,514,52
bcircuit,68902,68902,375558,5.45061,7.91067e-05,34,2,2.23501,42953,3
bcspwr02,49,49,167,3.40816,0.0695544,7,2,1.39852,47,3
bcspwr03,118,118,476,4.0339,0.0341856,10,2,1.56732,113,3
bcspwr04,274,274,1612,5.88321,0.0214716,16,2,3.29912,417,1
bcspwr05,443,443,1623,3.66366,0.00827011,10,2,1.57498,471,3
bcspwr06,1454,1454,5300,3.64512,0.00250696,13,2,1.56932,517,3
bcspwr07,1612,1612,5824,3.6129,0.00224126,13,2,1.61269,533,3
bcspwr08,1624,1624,6050,3.72537,0.00229395,14,2,1.70834,561,3
bcspwr09,1723,1723,6511,3.77887,0.00219319,15,2,1.73669,1967,1
bcspwr10,5300,5300,21842,4.12113,0.000777572,14,2,1.44224,7101,1
bcsstk01,48,48,400,8.33333,0.173611,12,5,1.62447,49,11
bcsstk02,66,66,4356,66,1,66,66,0,131,105
bcsstk03,112,112,640,5.71429,0.0510204,6,4,0.589015,11,11
bcsstk04,132,132,3648,27.6364,0.209366,46,15,10.7501,95,61
bcsstk05,153,153,2423,15.8366,0.103507,24,4,5.11241,57,29
bcsstk06,420,420,7860,18.7143,0.0445578,28,2,6.46561,43,33
bcsstk07,420,420,7860,18.7143,0.0445578,28,2,6.46561,43,33
bcsstk08,1074,1074,12960,12.067,0.0112356,339,1,21.0748,1005,5
bcsstk09,1083,1083,18437,17.024,0.0157193,23,6,4.08829,31,29
bcsstk10,1086,1086,22070,20.3223,0.018713,27,6,5.61841,63,31
bcsstk11,1473,1473,34241,23.2458,0.0157812,33,2,6.73608,181,35
bcsstk12,1473,1473,34241,23.2458,0.0157812,33,2,6.73608,181,35
bcsstk13,2003,2003,83883,41.8787,0.020908,95,5,22.8043,1841,31
bcsstk14,1806,1806,63454,35.1351,0.0194547,48,1,9.54986,323,23
bcsstk15,3948,3948,117816,29.8419,0.00755875,44,1,7.64504,875,27
bcsstk16,4884,4884,290378,59.455,0.0121734,81,1,17.3146,177,123
bcsstk17,10974,10974,428650,39.0605,0.00355937,150,1,15.4136,1043,21
bcsstk18,11948,11948,149090,12.4782,0.00104438,49,1,7.6245,2485,5
bcsstk19,817,817,6853,8.388,0.0102668,11,2,2.3064,469,11
bcsstk20,485,485,3135,6.46392,0.0133277,11,2,2.35972,41,9
bcsstk21,3600,3600,26600,7.38889,0.00205247,9,4,1.12837,21,5
bcsstk22,138,138,696,5.04348,0.0365469,8,2,1.84497,65,9
bcsstk23,3134,3134,45178,14.4154,0.00459969,31,2,4.86667,593,15
bcsstk24,3562,3562,159910,44.8933,0.0126034,57,15,11.4864,4309,57
bcsstk25,15439,15439,252241,16.3379,0.00105822,59,2,7.08051,583,11
bcsstk26,1922,1922,30336,15.7836,0.00821205,33,3,5.6938,467,9
bcsstk27,1224,1224,56126,45.8546,0.0374629,54,15,9.79329,113,63
bcsstk28,4410,4410,219024,49.6653,0.011262,94,16,9.68176,835,23
bcsstk29,13992,13992,619488,44.2744,0.00316427,71,5,15.641,2315,23
bcsstk30,28924,28924,2.04349e+06,70.6504,0.00244262,219,4,31.7231,13237,55
bcsstk31,35588,35588,1.18142e+06,33.197,0.000932815,189,2,15.1769,3099,17
bcsstk32,44609,44609,2.0147e+06,45.1636,0.00101243,216,2,15.485,25955,23
bcsstk33,8738,8738,591904,67.7391,0.00775224,141,20,16.1069,1777,77
bcsstk34,588,588,21418,36.4252,0.0619476,47,12,9.30782,191,83
bcsstk35,30237,30237,1.45016e+06,47.9599,0.00158613,222,5,14.2328,12799,35
bcsstk36,23052,23052,1.14314e+06,49.5896,0.00215121,178,8,12.2213,12295,23
bcsstk37,25503,25503,1.14098e+06,44.7389,0.00175426,102,8,13.4038,11191,23
bcsstk38,8032,8032,355460,44.2555,0.0055099,614,2,20.4482,3663,37
bcsstk39,46772,46772,2.08929e+06,44.6698,0.000955053,63,12,4.95389,1089,69
bcsstm01,48,48,48,1,0.0208333,1,1,0,1,1
bcsstm02,66,66,66,1,0.0151515,1,1,0,1,1
bcsstm03,112,112,112,1,0.00892857,1,1,0,1,1
bcsstm04,132,132,132,1,0.00757576,1,1,0,1,1
bcsstm05,153,153,153,1,0.00653595,1,1,0,1,1
bcsstm06,420,420,420,1,0.00238095,1,1,0,1,1
bcsstm07,420,420,7252,17.2667,0.0411111,26,2,6.06279,43,31
bcsstm08,1074,1074,1074,1,0.000931099,1,1,0,1,1
bcsstm09,1083,1083,1083,1,0.000923361,1,1,0,1,1
bcsstm10,1086,1086,22092,20.3425,0.0187316,27,6,5.61868,63,31
bcsstm11,1473,1473,1473,1,0.000678887,1,1,0,1,1
bcsstm12,1473,1473,19659,13.3462,0.00906058,22,2,5.16302,159,21
bcsstm13,2003,2003,21943,10.9551,0.00546933,70,1,15.9708,917,1
bcsstm19,817,817,817,1,0.00122399,1,1,0,1,1
bcsstm20,485,485,485,1,0.00206186,1,1,0,1,1
bcsstm21,3600,3600,3600,1,0.000277778,1,1,0,1,1
bcsstm22,138,138,138,1,0.00724638,1,1,0,1,1
bcsstm23,3134,3134,3134,1,0.000319081,1,1,0,1,1
bcsstm24,3562,3562,3562,1,0.000280741,1,1,0,1,1
bcsstm25,15439,15439,15439,1,6.4771e-05,1,1,0,1,1
bcsstm26,1922,1922,1922,1,0.000520291,1,1,0,1,1
bcsstm27,1224,1224,56126,45.8546,0.0374629,54,15,9.79329,113,63
bcsstm34,588,588,24270,41.2755,0.0701964,54,12,10.8643,191,93
bcsstm35,30237,30237,20619,0.681913,2.25523e-05,6,0,1.03433,11,1
bcsstm36,23052,23052,320606,13.9079,0.000603329,103,0,14.0348,10569,9
bcsstm37,25503,25503,15525,0.608752,2.38698e-05,5,0,0.700214,9,1
bcsstm38,8032,8032,10485,1.3054,0.000162525,20,0,1.94834,197,1
bcsstm39,46772,46772,46772,1,2.13803e-05,1,1,0,1,1
b_dyn,1089,1089,4264,3.91552,0.00359552,11,1,2.19697,1643,0
belgium_osm,1.4413e+06,1.4413e+06,3.09994e+06,2.1508,1.49227e-06,10,1,0.492694,363146,2
BenElechi1,245874,245874,1.31505e+07,53.4847,0.000217529,54,1,2.99507,1065,33
benzene,8219,8219,242669,29.5254,0.00359233,37,12,5.40378,5723,13
bfly,49152,49152,196608,4,8.13802e-05,4,4,0,50,2
bfwa398,398,398,3678,9.24121,0.0232191,23,3,3.75468,389,5
bfwa62,62,62,450,7.25806,0.117066,21,3,3.17721,82,5
bfwa782,782,782,7514,9.6087,0.0122873,24,3,3.82519,673,7
bfwb398,398,398,2910,7.31156,0.0183707,13,2,2.49289,329,5
bfwb62,62,62,342,5.51613,0.0889698,13,2,1.87291,63,5
bfwb782,782,782,5982,7.64962,0.00978212,13,2,2.55627,593,7
big,13209,13209,91465,6.92445,0.000524222,12,3,0.933742,17813,3
big_dual,30269,30269,89858,2.96865,9.80755e-05,3,2,0.174268,2316,2
Binaryalphadigs_10NN,1404,1404,19392,13.812,0.00983758,31,10,3.78729,2264,2
biplane-9,21701,21701,84076,3.87429,0.000178531,4,2,0.346207,1278,2
bips07_1693,13275,13275,49044,3.69446,0.000278302,30,1,2.79638,7157,2
bips07_1998,15066,15066,62198,4.12837,0.000274019,27,1,2.99388,9628,3
bips07_2476,16861,16861,66498,3.94389,0.000233906,27,1,2.89359,10222,2
bips07_3078,21128,21128,75729,3.5843,0.000169647,27,1,2.7076,10951,2
bips98_1142,9735,9735,40983,4.20986,0.000432446,30,1,3.05569,6386,3
bips98_1450,11305,11305,44678,3.95206,0.000349585,30,1,2.9378,6895,3
bips98_606,7135,7135,34738,4.86868,0.000682365,30,1,3.28996,5527,3
blckhole,2132,2132,14872,6.97561,0.00327186,20,1,0.953106,699,3
blockqp1,60012,60012,640033,10.6651,0.000177716,40011,2,305.43,80025,3
bloweya,30004,30004,150009,4.99963,0.000166632,10001,2,57.7629,30009,5
bloweybl,30003,30003,120000,3.9996,0.000133307,10001,1,57.7293,20011,9
bloweybq,10001,10001,69991,6.9984,0.00069977,10001,4,99.94,20001,5
bmw3_2,227362,227362,1.12886e+07,49.6505,0.000218376,336,2,13.8112,172465,27
bmw7st_1,141347,141347,7.33967e+06,51.9266,0.00036737,435,1,12.7244,132513,23
bmwcra_1,148770,148770,1.0644e+07,71.5467,0.000480922,351,24,18.508,66217,73
bodyy4,17546,17546,121938,6.94962,0.00039608,9,3,0.526049,2389,5
bodyy5,18589,18589,129281,6.9547,0.00037413,9,3,0.48651,2165,9
bodyy6,19366,19366,134748,6.95797,0.000359288,9,3,0.450812,2225,9
boeing_nasa1824,1824,1824,39208,21.4956,0.0117849,42,6,7.04139,427,23
boeing_nasa2910,2910,2910,174296,59.8955,0.0205827,175,16,30.0203,1719,51
boeing_nasa4704,4704,4704,104756,22.2696,0.00473417,42,6,6.45603,847,13
bone010,986703,986703,7.16663e+07,72.6321,7.36109e-05,81,12,15.8104,18009,11
boneS01,127224,127224,6.71515e+06,52.7821,0.000414875,81,12,17.6404,3033,11
boneS10,914898,914898,5.54684e+07,60.628,6.62675e-05,81,12,20.374,7331,11
boyd1,93279,93279,1.21123e+06,12.985,0.000139206,93261,3,653.397,186539,1
boyd2,466316,466316,1.5004e+06,3.21755,6.89994e-06,93262,2,194.912,373047,3
bp_1000,822,822,4661,5.67032,0.0068982,308,1,12.3244,1285,0
bp_1200,822,822,4726,5.74939,0.00699439,311,1,12.3394,1293,0
bp_1400,822,822,4790,5.82725,0.00708911,311,1,12.3648,1289,0
bp_1600,822,822,4841,5.88929,0.00716459,304,1,12.1697,1290,0
bp_200,822,822,3802,4.6253,0.00562689,283,1,11.3574,1086,0
bp_400,822,822,4028,4.90024,0.00596137,295,1,11.7555,1148,0
bp_600,822,822,4172,5.07543,0.00617448,302,1,12.0395,1189,0
bp_800,822,822,4534,5.51582,0.00671024,304,1,12.0952,1241,0
brack2,62631,62631,733118,11.7054,0.000186894,32,3,4.87345,80822,8
brainpc2,27607,27607,179395,6.49817,0.000235381,13799,1,131.255,27609,11
bratu3d,27792,27792,173796,6.25345,0.000225009,7,1,1.67325,7407,0
breasttissue_10NN,106,106,1412,13.3208,0.125667,27,10,3.6096,180,6
bundle1,10581,10581,770901,72.8571,0.00688565,1711,17,198.797,20339,5
bundle_adj,513351,513351,2.02081e+07,39.365,7.66824e-05,12588,3,250.766,1.01349e+06,5
bwm200,200,200,796,3.98,0.0199,4,3,0.14,5,5
bwm2000,2000,2000,7996,3.998,0.001999,4,3,0.0446766,5,5
c-18,2169,2169,15145,6.98248,0.00321922,170,2,8.54795,2239,3
c-19,2327,2327,21817,9.37559,0.00402905,362,2,11.9908,2605,3
c-20,2921,2921,22685,7.76618,0.00265874,158,2,12.5689,2913,3
c-21,3509,3509,32157,9.16415,0.00261161,451,2,13.4753,3213,3
c-22,3792,3792,28872,7.61392,0.00200789,208,2,12.6071,3765,3
c-23,3969,3969,31079,7.83044,0.0019729,655,2,14.9717,3973,3
c-24,4119,4119,35699,8.66691,0.00210413,232,2,15.0648,3667,3
c-25,3797,3797,49635,13.0722,0.00344276,600,2,20.0245,4235,3
c-26,4307,4307,34537,8.01881,0.00186181,438,2,12.5287,4297,3
c-27,4563,4563,31375,6.87596,0.00150689,369,2,10.6722,4569,3
c-28,4598,4598,30590,6.65289,0.00144691,386,2,9.00795,4679,3
c-29,5033,5033,43731,8.68885,0.00172638,481,2,15.9797,4935,3
c-30,5321,5321,65693,12.346,0.00232024,2110,2,74.629,5205,3
