matrix,Nrows,Ncols,Nnnz,AvgNnnz,Density,MaxRowNnnz,MinRowNnnz,StdRowNnnz,NDiags,NTrueDiags,AvgNnnzDia,AvgNnnzELL,AvgNnnzHyb,AvgNnnzHdc
adder_dcop_19,1813,1813,11245,6.20243,0.00342108,1310,1,30.7772,3127,2,0.00198351,0.00473468,0.459613,0.328287
adder_dcop_20,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2,0.00198368,0.0047351,0.459641,0.32829
adder_dcop_21,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2,0.00198368,0.0047351,0.459641,0.32829
adder_dcop_22,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2,0.00198368,0.0047351,0.459641,0.32829
adder_dcop_23,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2,0.00198368,0.0047351,0.459641,0.32829
adder_dcop_24,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2,0.00198368,0.0047351,0.459641,0.32829
adder_dcop_25,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2,0.00198368,0.0047351,0.459641,0.32829
adder_dcop_26,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2,0.00198368,0.0047351,0.459641,0.32829
adder_dcop_27,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2,0.00198368,0.0047351,0.459641,0.32829
adder_dcop_28,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2,0.00198368,0.0047351,0.459641,0.32829
adder_dcop_29,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2,0.00198368,0.0047351,0.459641,0.32829
adder_dcop_30,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2,0.00198368,0.0047351,0.459641,0.32829
adder_dcop_31,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2,0.00198368,0.0047351,0.459641,0.32829
adder_dcop_32,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2,0.00198368,0.0047351,0.459641,0.32829
adder_dcop_33,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2,0.00198368,0.0047351,0.459641,0.32829
adder_dcop_34,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2,0.00198368,0.0047351,0.459641,0.32829
adder_dcop_35,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2,0.00198368,0.0047351,0.459641,0.32829
adder_dcop_36,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2,0.00198368,0.0047351,0.459641,0.32829
adder_dcop_37,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2,0.00198368,0.0047351,0.459641,0.32829
adder_dcop_38,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2,0.00198368,0.0047351,0.459641,0.32829
adder_dcop_39,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2,0.00198368,0.0047351,0.459641,0.32829
adder_dcop_40,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2,0.00198368,0.0047351,0.459641,0.32829
adder_dcop_41,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2,0.00198368,0.0047351,0.459641,0.32829
adder_dcop_42,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2,0.00198368,0.0047351,0.459641,0.32829
adder_dcop_43,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2,0.00198368,0.0047351,0.459641,0.32829
adder_dcop_44,1813,1813,11245,6.20243,0.00342108,1310,1,30.7772,3127,2,0.00198351,0.00473468,0.459613,0.328287
adder_dcop_45,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2,0.00198368,0.0047351,0.459641,0.32829
adder_dcop_46,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2,0.00198368,0.0047351,0.459641,0.32829
adder_dcop_47,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2,0.00198368,0.0047351,0.459641,0.32829
adder_dcop_48,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2,0.00198368,0.0047351,0.459641,0.32829
adder_dcop_49,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2,0.00198368,0.0047351,0.459641,0.32829
adder_dcop_50,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2,0.00198368,0.0047351,0.459641,0.32829
adder_dcop_51,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2,0.00198368,0.0047351,0.459641,0.32829
adder_dcop_52,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2,0.00198368,0.0047351,0.459641,0.32829
adder_dcop_53,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2,0.00198368,0.0047351,0.459641,0.32829
adder_dcop_54,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2,0.00198368,0.0047351,0.459641,0.32829
adder_dcop_55,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2,0.00198368,0.0047351,0.459641,0.32829
adder_dcop_56,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2,0.00198368,0.0047351,0.459641,0.32829
adder_dcop_57,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2,0.00198368,0.0047351,0.459641,0.32829
adder_dcop_58,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2,0.00198368,0.0047351,0.459641,0.32829
adder_dcop_59,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2,0.00198368,0.0047351,0.459641,0.32829
adder_dcop_60,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2,0.00198368,0.0047351,0.459641,0.32829
adder_dcop_61,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2,0.00198368,0.0047351,0.459641,0.32829
adder_dcop_62,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2,0.00198368,0.0047351,0.459641,0.32829
adder_dcop_63,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2,0.00198368,0.0047351,0.459641,0.32829
adder_dcop_64,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2,0.00198368,0.0047351,0.459641,0.32829
adder_dcop_65,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2,0.00198368,0.0047351,0.459641,0.32829
adder_dcop_66,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2,0.00198368,0.0047351,0.459641,0.32829
adder_dcop_67,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2,0.00198368,0.0047351,0.459641,0.32829
adder_dcop_68,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2,0.00198368,0.0047351,0.459641,0.32829
adder_dcop_69,1813,1813,11246,6.20298,0.00342139,1310,1,30.7771,3127,2,0.00198368,0.0047351,0.459641,0.32829
adder_trans_01,1814,1814,14579,8.03693,0.0044305,1335,1,33.6749,3321,3,0.00242003,0.00602018,0.722875,0.312267
adder_trans_02,1814,1814,14579,8.03693,0.0044305,1335,1,33.6749,3321,3,0.00242003,0.00602018,0.722875,0.312267
adjnoun,112,112,850,7.58929,0.0677615,49,1,6.85116,198,2,0.0383297,0.154883,1.03505,0.331837
af_0_k101,503625,503625,1.75507e+07,34.8487,6.91957e-05,35,15,1.25658,897,47,0.0388503,0.995677,19.7573,0.425464
af_1_k101,503625,503625,1.75507e+07,34.8487,6.91957e-05,35,15,1.25658,897,47,0.0388503,0.995677,19.7573,0.425464
af23560,23560,23560,484256,20.5542,0.000872418,21,11,1.27075,33,33,0.622853,0.97877,4.3413,0.383801
af_2_k101,503625,503625,1.75507e+07,34.8487,6.91957e-05,35,15,1.25658,897,47,0.0388503,0.995677,19.7573,0.425464
af_3_k101,503625,503625,1.75507e+07,34.8487,6.91957e-05,35,15,1.25658,897,47,0.0388503,0.995677,19.7573,0.425464
af_4_k101,503625,503625,1.75507e+07,34.8487,6.91957e-05,35,15,1.25658,897,47,0.0388503,0.995677,19.7573,0.425464
af_5_k101,503625,503625,1.75507e+07,34.8487,6.91957e-05,35,15,1.25658,897,47,0.0388503,0.995677,19.7573,0.425464
af_shell1,504855,504855,1.75889e+07,34.8395,6.90088e-05,40,20,1.27522,7525,19,0.00462983,0.870986,17.7152,0.640933
af_shell10,1.50806e+06,1.50806e+06,5.26723e+07,34.9271,2.31602e-05,35,15,0.901546,2667,47,0.013096,0.997917,30.3904,0.426004
af_shell2,504855,504855,1.75889e+07,34.8395,6.90088e-05,40,20,1.27522,7525,19,0.00462983,0.870986,17.7152,0.640933
af_shell3,504855,504855,1.75889e+07,34.8395,6.90088e-05,40,20,1.27522,7525,19,0.00462983,0.870986,17.7152,0.640933
af_shell4,504855,504855,1.75889e+07,34.8395,6.90088e-05,40,20,1.27522,7525,19,0.00462983,0.870986,17.7152,0.640933
af_shell5,504855,504855,1.75889e+07,34.8395,6.90088e-05,40,20,1.27522,7525,19,0.00462983,0.870986,17.7152,0.640933
af_shell6,504855,504855,1.75889e+07,34.8395,6.90088e-05,40,20,1.27522,7525,19,0.00462983,0.870986,17.7152,0.640933
af_shell7,504855,504855,1.75889e+07,34.8395,6.90088e-05,40,20,1.27522,7525,19,0.00462983,0.870986,17.7152,0.640933
af_shell8,504855,504855,1.75889e+07,34.8395,6.90088e-05,40,20,1.27522,7525,19,0.00462983,0.870986,17.7152,0.640933
af_shell9,504855,504855,1.75889e+07,34.8395,6.90088e-05,40,20,1.27522,7525,19,0.00462983,0.870986,17.7152,0.640933
aft01,8205,8205,125567,15.3037,0.00186517,21,8,3.8952,177,21,0.0864617,0.728748,1.29771,0.418195
airfoil1,4253,4253,24578,5.77898,0.0013588,9,3,0.706731,756,0,0.00764415,0.642109,3.77211,0.849072
airfoil1_dual,8034,8034,23626,2.94075,0.000366038,3,2,0.236089,792,2,0.00371307,0.980251,7.41986,0.562294
airfoil_2d,14214,14214,259688,18.2699,0.00128534,23,1,3.94821,2964,1,0.00616393,0.794342,2.35655,0.791646
ak2010,45292,45292,217098,4.7933,0.000105831,430,0,5.74964,9706,0,0.000493849,0.0111472,0.93649,0.823521
al2010,252266,252266,1.23048e+06,4.87772,1.93356e-05,76,1,3.09347,58240,0,8.3752e-05,0.0641805,1.18078,0.812435
Alemdar,6245,6245,42581,6.81841,0.00109182,10,1,2.36095,3465,1,0.0019678,0.681841,1.67658,0.58777
amazon0302,262111,262111,1.23488e+06,4.71127,1.79744e-05,5,0,0.951538,217609,2,2.16502e-05,0.942255,3.47282,0.443513
amazon0312,400727,400727,3.20044e+06,7.98658,1.99302e-05,10,0,3.07182,485089,2,1.64642e-05,0.798658,1.73672,0.406349
amazon0505,410236,410236,3.35682e+06,8.18267,1.99462e-05,10,0,3.07317,485201,2,1.68645e-05,0.818267,1.79169,0.412006
amazon0601,403394,403394,3.38739e+06,8.39722,2.08164e-05,10,0,2.78968,496338,2,1.69183e-05,0.839722,1.93818,0.405092
amazon-2008,735323,735323,5.15839e+06,7.01513,9.5402e-06,10,0,3.94388,761972,8,9.20655e-06,0.701513,1.37148,0.3148
analytics,303813,303813,2.00613e+06,6.60316,2.17343e-05,25666,1,131.404,472291,1,1.39811e-05,0.000257273,0.184342,0.369551
Andrews,60000,60000,760154,12.6692,0.000211154,36,9,3.41445,108155,1,0.00011714,0.351923,1.43474,0.347042
apache1,80800,80800,542184,6.7102,8.3047e-05,7,4,0.475931,7,7,0.9586,0.9586,3.02432,0.489431
apache2,715176,715176,4.81787e+06,6.73662,9.41953e-06,8,4,0.448098,11,7,0.61242,0.842078,3.2339,0.490412
appu,14000,14000,1.8531e+06,132.365,0.00945461,294,12,36.4945,27801,1,0.00476114,0.45022,1.5509,0.334083
ar2010,186211,186211,904310,4.85637,2.60799e-05,54,1,2.92528,32406,0,0.00014986,0.0899328,1.19872,0.851768
arc130,130,130,1282,9.86154,0.075858,124,1,14.8079,235,1,0.041964,0.0795285,0.915249,0.344661
as-22july06,22963,22963,96872,4.21861,0.000183713,2390,1,32.9424,36358,0,0.00011603,0.00176511,0.594852,0.387097
AS365,3.79928e+06,3.79928e+06,2.27362e+07,5.98434,1.57513e-06,14,2,0.865496,5.92123e+06,2,1.01066e-06,0.427453,2.55861,0.345695
as-735,7716,7716,26467,3.43015,0.00044455,1459,0,22.9817,11391,0,0.000301128,0.00235102,0.533437,0.403831
as-caida,31379,31379,106762,3.40234,0.000108427,2628,0,30.6905,46258,0,7.35514e-05,0.00129465,0.5233,0.404176
ash292,292,292,2208,7.56164,0.025896,14,4,1.74769,49,7,0.154319,0.540117,1.63151,0.483194
ash85,85,85,523,6.15294,0.0723875,10,3,1.40173,67,3,0.0918349,0.615294,1.44691,0.446326
asia_osm,1.19508e+07,1.19508e+07,2.54232e+07,2.12733,1.78008e-07,9,1,0.484832,1.78282e+06,2,1.19324e-06,0.23637,1.11696,0.478623
ASIC_100k,99340,99340,954163,9.60502,9.66884e-05,99029,1,420.914,153555,5,6.2551e-05,9.6992e-05,0.12814,0.32613
ASIC_100ks,99190,99190,578890,5.83617,5.88383e-05,206,1,6.16355,32013,5,0.000182306,0.0283309,0.979533,0.458838
ASIC_320k,321821,321821,2.63536e+06,8.18891,2.54456e-05,203800,1,502.951,485981,1,1.68503e-05,4.01811e-05,0.0596672,0.379909
ASIC_320ks,321671,321671,1.82781e+06,5.68223,1.76647e-05,412,1,7.94985,97059,3,5.8544e-05,0.0137918,0.891203,0.546542
ASIC_680k,682862,682862,3.87177e+06,5.66992,8.30317e-06,395259,1,659.807,898735,1,6.30878e-06,1.43448e-05,0.056442,0.401204
ASIC_680ks,682712,682712,2.32918e+06,3.41165,4.99721e-06,210,1,4.25287,108087,1,3.15639e-05,0.016246,0.965465,0.688975
as-Skitter,1.69642e+06,1.69642e+06,2.21906e+07,13.0809,7.71089e-06,35455,1,136.861,1.65605e+06,0,7.89886e-06,0.000368943,0.372454,0.506021
astro-ph,16706,16706,242502,14.5159,0.000868901,360,0,21.0085,28274,4,0.0005134,0.0403218,0.882021,0.336954
atmosmodj,1.27043e+06,1.27043e+06,8.81488e+06,6.93849,5.46152e-06,7,4,0.244858,7,7,0.991213,0.991213,10.6884,0.497794
atmosmodl,1.48975e+06,1.48975e+06,1.03198e+07,6.92717,4.64988e-06,7,4,0.264309,7,7,0.989595,0.989595,9.33756,0.497385
atmosmodm,1.48975e+06,1.48975e+06,1.03198e+07,6.92717,4.64988e-06,7,4,0.264309,7,7,0.989595,0.989595,9.33756,0.497385
audikw_1,943695,943695,7.76518e+07,82.2849,8.71944e-05,345,21,42.4453,1.73258e+06,39,4.74928e-05,0.238507,1.09782,0.302126
aug2d,29008,29008,76832,2.64865,9.13075e-05,4,1,0.95765,19600,0,0.000135135,0.662162,1.26803,0.596774
aug2dc,30200,30200,80000,2.64901,8.77155e-05,4,1,0.95736,20594,0,0.00012863,0.662252,1.26816,0.594558
aug3d,24300,24300,69984,2.88,0.000118519,6,1,1.77358,24906,0,0.000115635,0.48,1.10157,0.493842
aug3dcqp,35543,35543,128115,3.60451,0.000101413,9,2,1.50184,26533,1,0.00013585,0.400501,1.15114,0.494094
auto,448695,448695,6.62922e+06,14.7745,3.29276e-05,37,4,2.71361,449374,0,3.28778e-05,0.399309,1.80561,0.499622
av41092,41092,41092,1.6839e+06,40.9788,0.000997246,2135,2,167.038,53538,0,0.000765416,0.0191938,0.728354,0.434239
az2010,241666,241666,1.19609e+06,4.94937,2.04802e-05,137,1,3.63807,114898,0,4.30762e-05,0.0361268,1.11883,0.677763
b1_ss,7,7,15,2.14286,0.306122,3,2,0.349927,7,2,0.306122,0.714286,1.13576,0.377698
b2_ss,1089,1089,4228,3.88246,0.00356516,11,1,2.19628,1637,0,0.00237169,0.352951,1.22109,0.399486
barrier2-1,113076,113076,3.80507e+06,33.6505,0.000297592,7031,10,24.9358,191839,11,0.00017541,0.00478602,1.12165,0.33076
barrier2-10,115625,115625,3.89756e+06,33.7086,0.000291534,8437,8,28.4608,194405,13,0.000173394,0.00399533,1.07053,0.326064
barrier2-11,115625,115625,3.89756e+06,33.7086,0.000291534,8437,8,28.4608,194405,13,0.000173394,0.00399533,1.07053,0.326064
barrier2-12,115625,115625,3.89756e+06,33.7086,0.000291534,8437,8,28.4608,194405,13,0.000173394,0.00399533,1.07053,0.326064
barrier2-2,113076,113076,3.80507e+06,33.6505,0.000297592,7031,10,24.9358,191839,11,0.00017541,0.00478602,1.12165,0.33076
barrier2-3,113076,113076,3.80507e+06,33.6505,0.000297592,7031,10,24.9358,191839,11,0.00017541,0.00478602,1.12165,0.33076
barrier2-4,113076,113076,3.80507e+06,33.6505,0.000297592,7031,10,24.9358,191839,11,0.00017541,0.00478602,1.12165,0.33076
barrier2-9,115625,115625,3.89756e+06,33.7086,0.000291534,8437,8,28.4608,194405,13,0.000173394,0.00399533,1.07053,0.326064
barth,6691,6691,26439,3.95143,0.000590559,10,2,1.60663,7876,1,0.000501705,0.395143,1.42791,0.411518
barth4,6019,6019,23492,3.90297,0.000648442,10,2,0.678551,1832,3,0.00213044,0.390297,2.69176,0.482505
barth5,15606,15606,61484,3.93977,0.000252452,8,2,0.637148,3238,1,0.00121673,0.492471,2.95469,0.684349
Baumann,112211,112211,760631,6.77858,6.04092e-05,7,4,0.433105,7,7,0.968368,0.968368,3.78606,0.491965
bauru5727,40366,40366,145019,3.5926,8.90007e-05,34,1,2.71075,14385,2,0.000249746,0.105665,1.09184,0.522735
bayer01,57735,57735,277774,4.81119,8.33323e-05,28,1,3.96858,93219,0,5.16117e-05,0.171828,1.04853,0.382468
bayer02,13935,13935,63679,4.56972,0.000327931,22,1,3.79258,22374,0,0.000204242,0.207714,1.04176,0.383789
bayer03,6747,6747,56196,8.32904,0.00123448,34,1,8.42726,10611,0,0.000784943,0.244972,0.995835,0.388697
bayer04,20545,20545,159082,7.7431,0.000376885,34,1,8.16467,31530,0,0.000245579,0.227738,0.982414,0.394527
bayer05,3268,3268,27836,8.51775,0.00260641,73,1,11.5226,4550,0,0.00187203,0.116681,0.94386,0.41801
bayer06,3008,3008,27576,9.16755,0.00304772,73,1,11.7872,4546,0,0.00201662,0.125583,0.95026,0.3982
bayer07,3268,3268,27836,8.51775,0.00260641,73,1,11.5226,4550,0,0.00187203,0.116681,0.94386,0.41801
bayer08,3008,3008,27576,9.16755,0.00304772,73,1,11.7872,4546,0,0.00201662,0.125583,0.95026,0.3982
bayer09,3083,3083,21216,6.88161,0.00223211,34,1,7.73159,4682,0,0.0014698,0.2024,0.964676,0.397038
bayer10,13436,13436,94926,7.06505,0.00052583,27,1,7.44954,20535,0,0.000344049,0.261668,0.982932,0.395514
bbmat,38744,38744,1.77172e+06,45.7289,0.00118028,126,6,38.3953,514,52,0.0889668,0.362928,1.05688,0.46532
bcircuit,68902,68902,375558,5.45061,7.91067e-05,34,2,2.23501,42953,3,0.000126897,0.160312,1.25984,0.460035
bcspwr02,49,49,167,3.40816,0.0695544,7,2,1.39852,47,3,0.0725141,0.48688,1.31696,0.359945
bcspwr03,118,118,476,4.0339,0.0341856,10,2,1.56732,113,3,0.0356982,0.40339,1.22933,0.373706
bcspwr04,274,274,1612,5.88321,0.0214716,16,2,3.29912,417,1,0.0141084,0.367701,1.27357,0.371993
bcspwr05,443,443,1623,3.66366,0.00827011,10,2,1.57498,471,3,0.00777846,0.366366,1.33503,0.347791
bcspwr06,1454,1454,5300,3.64512,0.00250696,13,2,1.56932,517,3,0.00705052,0.280394,1.33451,0.459448
bcspwr07,1612,1612,5824,3.6129,0.00224126,13,2,1.61269,533,3,0.00677843,0.277916,1.31353,0.463147
bcspwr08,1624,1624,6050,3.72537,0.00229395,14,2,1.70834,561,3,0.00664059,0.266098,1.32692,0.465358
bcspwr09,1723,1723,6511,3.77887,0.00219319,15,2,1.73669,1967,1,0.00192114,0.251925,1.34398,0.415686
bcspwr10,5300,5300,21842,4.12113,0.000777572,14,2,1.44224,7101,1,0.000580359,0.294367,1.23268,0.387256
bcsstk01,48,48,400,8.33333,0.173611,12,5,1.62447,49,11,0.170068,0.694444,1.25198,0.321371
bcsstk02,66,66,4356,66,1,66,66,0,131,105,0.503817,1,1,0.335025
bcsstk03,112,112,640,5.71429,0.0510204,6,4,0.589015,11,11,0.519481,0.952381,3.38667,0.34188
bcsstk04,132,132,3648,27.6364,0.209366,46,15,10.7501,95,61,0.290909,0.600791,1.28566,0.288616
bcsstk05,153,153,2423,15.8366,0.103507,24,4,5.11241,57,29,0.277835,0.659858,1.59181,0.331762
bcsstk06,420,420,7860,18.7143,0.0445578,28,2,6.46561,43,33,0.435216,0.668367,1.61759,0.358787
bcsstk07,420,420,7860,18.7143,0.0445578,28,2,6.46561,43,33,0.435216,0.668367,1.61759,0.358787
bcsstk08,1074,1074,12960,12.067,0.0112356,339,1,21.0748,1005,5,0.012007,0.035596,0.864245,0.426357
bcsstk09,1083,1083,18437,17.024,0.0157193,23,6,4.08829,31,29,0.549162,0.740174,1.25434,0.369642
bcsstk10,1086,1086,22070,20.3223,0.018713,27,6,5.61841,63,31,0.322576,0.752677,1.38854,0.391407
bcsstk11,1473,1473,34241,23.2458,0.0157812,33,2,6.73608,181,35,0.12843,0.704417,2.00775,0.383911
bcsstk12,1473,1473,34241,23.2458,0.0157812,33,2,6.73608,181,35,0.12843,0.704417,2.00775,0.383911
bcsstk13,2003,2003,83883,41.8787,0.020908,95,5,22.8043,1841,31,0.0227478,0.440828,1.22441,0.378232
bcsstk14,1806,1806,63454,35.1351,0.0194547,48,1,9.54986,323,23,0.108777,0.731981,1.76381,0.549231
bcsstk15,3948,3948,117816,29.8419,0.00755875,44,1,7.64504,875,27,0.0341051,0.678226,1.71508,0.471796
bcsstk16,4884,4884,290378,59.455,0.0121734,81,1,17.3146,177,123,0.335904,0.734012,1.41182,0.324691
bcsstk17,10974,10974,428650,39.0605,0.00355937,150,1,15.4136,1043,21,0.0374502,0.260403,1.60515,0.613212
bcsstk18,11948,11948,149090,12.4782,0.00104438,49,1,7.6245,2485,5,0.00502142,0.254658,1.22316,0.621789
